course_id,"offered_terms (1-4 for winter,spring,summer,fall)",missing?,range: summer 2025 - spring 2026 (Spring 2026 is the latest in some deparments (e.g. PHY)
CSE 101,"2,3,4",,
CSE 102,,1,
CSE 110,,1,
CSE 113,"2,4",,
CSE 114,"2,3,4",,
CSE 130,,1,
CSE 150,4,,
CSE 160,2,,
CSE 161,2,,
CSE 190,,1,
CSE 191,,1,
CSE 192,,1,
CSE 214,"2,3,4",,
CSE 215,"2,3",,
CSE 216,"2,3,4",,
CSE 220,"2,3,4",,
CSE 230,,1,
CSE 260,4,,
CSE 261,4,,
CSE 300,"2,4",,
CSE 301,2,,
CSE 303,"2,3,4",,
CSE 304,,,
CSE 305,"2,4",,
CSE 306,2,,
CSE 307,"2,4",,
CSE 310,"2,3,4",,
CSE 311,2,,
CSE 312,"2,4",,
CSE 316,"2,4",,
CSE 320,"2,4",,
CSE 323,2,,
CSE 325,,1,
CSE 327,2,,
CSE 328,2,,
CSE 331,2,,
CSE 332,,,
CSE 333,4,,
CSE 334,"2,4",,
CSE 336,,1,
CSE 337,"2,4",,
CSE 350,4,,
CSE 351,"2,3,4",,
CSE 352,"2,4",,
CSE 353,2,,
CSE 354,2,,
CSE 355,4,,
CSE 356,2,,
CSE 357,4,,
CSE 360,4,,
CSE 361,"2,4",,
CSE 362,,,
CSE 363,2,,
CSE 364,,1,
CSE 366,,,
CSE 370,,1,
CSE 371,"2,4",,
CSE 373,"2,4",,
CSE 376,,,
CSE 377,4,,
CSE 378,,,
CSE 380,2,,
CSE 381,4,,
CSE 385,2,,
CSE 390,,,
CSE 391,,,
CSE 392,,,
CSE 393,,,
CSE 394,,,
CSE 416,"2,4",,
CSE 475,"2,3,4",,
CSE 487,"2,3,4",,
CSE 488,"2,3,4,",,
CSE 495,"2,3,4",,
CSE 496,"2,3,4",,
AMS 151,"1,2,3,4",,
AMS 161,"1,2,3,4",,
AMS 210,"1,2,3,4",,
AMS 301,"1,2,3,4",,
AMS 310,"1,2,3,4",,
AMS 311,"1,2,3,4",,
MAP 101,"4",,
MAP 103,"2,4",,
MAT 123,"1,2,3,4",,
MAT 125,"2,3,4",,
MAT 126,"2,3,4",,
MAT 127,"2,3,4",,
MAT 131,"2,3,4",,
MAT 132,"2,3,4",,
MAT 211,"2,3,4",,
BIO 201,"2,3,4",,
BIO 202,"2,3,4",,
BIO 203,"2,3,4",,
BIO 204,"2,3,4",,
CHE 131,"2,3,4",,
CHE 132,"2,3,4",,
CHE 133,"2,3,4",,
CHE 152,"2,4",,
CHE 154,"2,4",,
CHE 321,"2,3,4",,
CHE 322,"2,3,4",,
CHE 331,"3,4",,
CHE 332,"3,4",,
PHY 125,"3,4",,
PHY 126,"2,3,4",,
PHY 127,"2,3,4",,
PHY 131,"2,3,4",,
PHY 132,"2,3,4",,
PHY 133,"2,3,4",,
PHY 134,"2,3,4",,
PHY 141,"2,4",,
PHY 142,"2,4",,
PHY 251,"2,3,4",,
PHY 252,"2,4",,
GEO 102,"1,2,3,4",,
GEO 103,"2,4",,
GEO 112,"2,4",,
GEO 122,"2,4",,
AST 203,"2,4",,
AST 205,4,,
WRT 101,"1,2,3,4",,
WRT 102,"1,2,3,4",,
AMS 110,"1,2,3,4",,
AMS 261,"1,2,3,4",,
AMS 361,"1,2,3,4",,
AMS 412,"2,4",,
MAT 130,"2,4",,
MAT 200,"2,3,4,",,
MAT 203,"2,3,4",,
MAT 250,"2,4",,
MAT 303,"2,3,4",,
MAT 307,"2,4",,
CHE 129,"2,4",,
CHE 130,"2,4",,
CHE 383,"2,4",,
PHY 122,"2,3,4",,
